OBJECTID,HS_STOPS_I,STOP_ID,LONGITUDE,LATTITUDE,STOP_NAME,ONSTREET,ON_SUFFIX,ATSTREET,AT_SUFFIX,STOP_DIREC,TAXI_STAND,REST_ROOM,SHELTER,PARKING,PLATFORM,BENCH,ELEVATOR,ESCALATOR,CENTROIDX,CENTROIDY,LINE_NAME,SEQUENCE,WEEKDAY_BO,SATURDAY_B,SUNDAY_BOA,X,Y,LABEL
1,3.00000000,20039.00000000,-75.14700000,40.03000000,Logan,Broad,ST,Windrim-Lindley,AV,S,N,N,Y,Y,Y,Y,N,N,487491.36,4431099.21,BROAD STREET LINE,30,2317,1376,959,2697415.79713242,264613.60708822,Logan
2,4.00000000,20037.00000000,-75.14830000,40.02440000,Wyoming,Broad,ST,Wyoming,AV,S,N,N,Y,Y,Y,Y,N,N,487379.23,4430476.41,BROAD STREET LINE,40,2296,1467,1067,2697137.44172335,262537.87724497,Wyoming
3,5.00000000,20035.00000000,-75.14970000,40.01770000,Hunting Park,Broad,ST,Hunting Park,AV,S,N,N,Y,Y,Y,Y,N,N,487255.7,4429736.21,BROAD STREET LINE,50,2805,1796,1274,2696786.86221627,260035.15116925,Hunting Park
4,6.00000000,20033.00000000,-75.15160000,40.00920000,Erie,Broad,ST,Erie,AV,S,N,N,Y,Y,Y,Y,N,Y,487094.85,4428790.18,BROAD STREET LINE,60,7086,3962,2515,2696362.84631410,256948.37277554,Erie
5,7.00000000,20031.00000000,-75.15330000,40.00150000,Alleghney - BSL,Broad,ST,Alleghney,AV,S,N,N,Y,Y,Y,Y,N,N,486950.85,4427940.36,BROAD STREET LINE,70,3273,1739,1296,2695974.88604712,254135.76196471,Alleghney
6,8.00000000,20029.00000000,-75.15450000,39.99540000,North Philadelphia,Broad,ST,Somerset,ST,S,N,N,Y,Y,Y,Y,N,Y,486845.36,4427254.96,BROAD STREET LINE,80,3917,2336,1681,2695668.11487497,251915.61633337,North Philadelphia
7,9.00000000,20027.00000000,-75.15630000,39.98700000,Susquehanna-Dauphin,Broad,ST,Susquehanna-Dauphin,ST,S,N,N,Y,Y,Y,Y,N,N,486691.08,4426327.91,BROAD STREET LINE,90,2605,1959,1407,2695230.16595861,248822.95169729,Susquehanna-Dauphin
8,10.00000000,20025.00000000,-75.15810000,39.97850000,Cecil B. Moore,Broad,ST,Cecil B. Moore,BL,S,N,N,Y,Y,Y,Y,Y,Y,486537.88,4425388.66,BROAD STREET LINE,100,5437,2739,1749,2694822.43204624,245761.66274959,Cecil B. Moore
9,11.00000000,20023.00000000,-75.15970000,39.97130000,Girard - BSL,Broad,ST,Girard,AV,S,N,N,Y,Y,Y,Y,N,N,486393.85,4424589.14,BROAD STREET LINE,110,3763,2072,1484,2694472.20782621,243112.62442107,Girard
10,12.00000000,20021.00000000,-75.16090000,39.96670000,Fairmount,Broad,ST,Fairmount,AV,S,N,N,Y,Y,Y,Y,N,N,486296.42,4424079.31,BROAD STREET LINE,120,1534,593,381,2694245.37864329,241477.86583478,Fairmount
11,16.00000000,20013.00000000,-75.16470000,39.94850000,Walnut-Locust,Broad,ST,Walnut-Locust,ST,S,N,N,Y,Y,Y,Y,N,N,485960.39,4422057.72,BROAD STREET LINE,160,5417,2376,2045,2693329.81709126,234817.60178312,Walnut-Locust
