OBJECTID_1,OBJECTID,STOPID,LOCATION,LATITUDE,LONGITUDE,FAREZONE,STOPDIR,RESTROOM,BENCH,SHELTER,PLATFORM,PARKING,TAXISTAND,CITY,COUNTY,ST,ZIP,COMMENTS,CENTROIDX,CENTROIDY,BOARDS_INB,TOTAL_SPAC,CAR_COUNT,LINE,DEPLAC,SAT_BOARDS,SUN_BOARDS,WKDY_BOARD,NEAR_FID,NEAR_DIST,X,Y,LABEL,PX_PARK
1,1,80000.00000000,Airport Terminal E&F,-75.24064000,39.87916000,5,N,Y,Y,Y,high,N,Y,Essington,Philadelphia,PA,,,479456.27,4414373.92,307.00000000,0,0,Airport,0.00000000,430.00000000,636.00000000,454.00000000,18,6.44169045,2672921.54138439,208949.74624396,0,0.00000000
2,2,80001.00000000,Airport Terminals C&D,-75.24105000,39.87799000,5,N,Y,Y,Y,high,N,Y,Essington,Philadelphia,PA,,,479420.52,4414244.71,343.00000000,0,0,Airport,0.00000000,390.00000000,517.00000000,378.00000000,18,6.52661651,2672832.37513482,208456.71342967,0,0.00000000
3,3,80002.00000000,Airport Terminal B,-75.24231000,39.87703000,5,N,Y,Y,Y,high,N,Y,Essington,Philadelphia,PA,,,479312.31,4414138.67,257.00000000,0,0,Airport,0.00000000,450.00000000,454.00000000,418.00000000,18,6.61588648,2672499.21549636,208117.04459617,0,0.00000000
4,4,80003.00000000,Airport Terminal A,-75.24467000,39.87634000,5,N,Y,Y,Y,high,N,Y,Essington,Philadelphia,PA,,,479110.71,4414062.31,244.00000000,0,0,Airport,0.00000000,296.00000000,405.00000000,344.00000000,18,6.81264921,2671377.28377474,207663.96237151,0,0.00000000
5,5,80004.00000000,Eastwick,-75.24421000,39.89278000,2,N,N,Y,N,mini-high,N,N,EastWick,Philadelphia,PA,,,479154.36,4415886.72,240.00000000,0,0,Airport,0.00000000,108.00000000,114.00000000,305.00000000,18,5.89910970,2671634.86089224,213816.06990293,0,0.00000000
6,6,80005.00000000,Newark,-75.75353000,39.66997000,5,N,N,Y,Y,mini-high,Y,N,Newark,Delaware,DE,,,435401.38,4391400.78,228.00000000,276,177,Wilmington,99.00000000,0.00000000,0.00000000,342.00000000,18,36.86830437,2530685.27497068,129218.33661326,0,0.00000000
7,7,80006.00000000,Wilmington,-75.55360000,39.73740000,4,N,N,Y,Y,mini-high,Y,N,Wimington,Delaware,DE,,,452596.42,4398759.9,515.00000000,1200,1000,Wilmington,200.00000000,303.00000000,0.00000000,847.00000000,18,25.37627840,2586882.88860737,154802.47022832,0,0.00000000
8,8,80007.00000000,Claymont,-75.45059000,39.79994000,4,N,N,Y,Y,mini-high,Y,N,Wimington,Delaware,DE,,,461457.93,4405651.12,415.00000000,509,295,Wilmington,214.00000000,25.00000000,0.00000000,678.00000000,18,18.65640804,2614123.77859913,177611.86231216,0,0.00000000
9,9,80008.00000000,Marcus Hook,-75.41990000,39.82172000,4,N,N,Y,Y,0,Y,N,Marcus Hook,Delaware,PA,,,464096.77,4408055.61,363.00000000,205,155,Wilmington,50.00000000,137.00000000,140.00000000,496.00000000,18,16.29769476,2623034.79938316,186544.32395013,0,0.00000000
10,10,80009.00000000,Highland Avenue,-75.39316000,39.83367000,4,N,N,Y,Y,0,Y,N,Chester,Delaware,PA,,,466391.04,4409371.51,65.00000000,61,6,Chestnut_Hill_West,55.00000000,49.00000000,27.00000000,81.00000000,18,14.67471209,2630315.17378858,191092.35961482,0,0.00000000
11,11,80011.00000000,Chester TC,-75.36160000,39.84893000,3,N,N,Y,Y,mini-high,Y,N,Chester,Delaware,PA,,,469098.38,4411054.53,236.00000000,0,0,Wilmington,0.00000000,145.00000000,89.00000000,345.00000000,18,12.59127792,2639507.81598199,197151.01104547,0,0.00000000
12,12,80012.00000000,Eddystone,-75.34364000,39.85634000,3,N,N,Y,Y,0,Y,N,Eddystone,Delaware,PA,,,470638.02,4411870.89,57.00000000,12,5,Wilmington,7.00000000,9.00000000,6.00000000,67.00000000,18,11.51718181,2644425.53503505,200033.43456342,0,0.00000000
13,13,80013.00000000,Crum Lynne,-75.33168000,39.87122000,3,N,N,Y,Y,0,Y,N,Crum Lynne,Delaware,PA,,,471667.57,4413518.16,72.00000000,14,14,Wilmington,0.00000000,37.00000000,18.00000000,96.00000000,18,10.46323732,2647401.15178936,205477.74545417,0,0.00000000
14,14,80014.00000000,Ridley Park,-75.32306000,39.88002000,3,N,N,Y,Y,0,Y,N,Ridley Park,Delaware,PA,,,472408.3,4414491.7,228.00000000,0,0,Wilmington,0.00000000,53.00000000,39.00000000,273.00000000,18,9.75894477,2649759.09838787,208675.98316021,0,0.00000000
15,15,80015.00000000,Prospect Park-Moore,-75.31239000,39.88648000,2,N,N,Y,Y,0,Y,N,Philadaelphia,Delaware,PA,,,473322.96,4415205.55,190.00000000,44,43,Wilmington,1.00000000,75.00000000,53.00000000,225.00000000,18,8.86719196,2653432.63696310,211685.29457116,0,0.00000000
16,16,80016.00000000,Norwood,-75.30364000,39.89061000,2,N,N,Y,Y,0,Y,N,Norwood,Delaware,PA,,,474073.1,4415661.02,213.00000000,62,56,Wilmington,6.00000000,57.00000000,45.00000000,269.00000000,18,8.42053667,2655470.61275498,212873.23046664,0,0.00000000
17,17,80017.00000000,Glenolden,-75.29005000,39.89624000,2,N,N,Y,Y,0,Y,N,Glenolden,Delaware,PA,,,475236.81,4416282.45,189.00000000,71,66,Wilmington,5.00000000,36.00000000,35.00000000,193.00000000,18,7.72692269,2658642.88209765,214706.11320188,0,0.00000000
18,18,80018.00000000,Folcroft,-75.27786000,39.90135000,2,N,N,Y,Y,0,Y,N,Folcroft,Delaware,PA,,,476280.46,4416846.5,141.00000000,43,28,Wilmington,15.00000000,48.00000000,22.00000000,176.00000000,18,7.09940977,2661512.91497937,216364.65081506,0,0.00000000
19,19,80019.00000000,Sharon Hill,-75.27096000,39.90430000,2,N,N,Y,Y,0,Y,N,Sharon Hill,Delaware,PA,,,476871.47,4417171.89,134.00000000,33,19,Wilmington,14.00000000,70.00000000,37.00000000,161.00000000,18,6.57019913,2663930.19931818,217768.84010193,0,0.00000000
20,20,80020.00000000,Curtis Park,-75.26636000,39.90706000,2,N,N,Y,Y,0,Y,N,Curtis Park,Delaware,PA,,,477266.03,4417477.47,109.00000000,26,25,Wilmington,1.00000000,21.00000000,10.00000000,98.00000000,18,6.16773586,2665548.97358763,219192.21969126,0,0.00000000
21,21,80021.00000000,Darby,-75.25526000,39.91270000,2,N,N,Y,Y,0,Y,N,Darby,Delaware,PA,,,478216.19,4418100.34,74.00000000,16,16,Wilmington,0.00000000,53.00000000,52.00000000,118.00000000,18,5.51098159,2668465.30901546,221070.53475938,0,0.00000000
22,22,80033.00000000,Ardsley,-75.15372000,40.11362000,3,N,N,Y,Y,mini-high,N,N,Ardsley,Montogomery,PA,,,486933.92,4440380.19,94.00000000,46,39,Warminster,7.00000000,43.00000000,26.00000000,150.00000000,18,11.17733853,2694726.61856781,295137.15027145,0,0.00000000
23,23,80034.00000000,Roslyn,-75.13410000,40.12079000,3,N,N,Y,Y,mini-high,N,N,Roslyn,Montogomery,PA,,,488607.15,4441173.85,175.00000000,91,55,Warminster,36.00000000,71.00000000,64.00000000,204.00000000,18,11.73219393,2699963.28337631,297729.59113116,0,0.00000000
24,24,80035.00000000,Crestmont,-75.11876000,40.13380000,3,N,N,N,Y,0,N,N,Crestmont,Montogomery,PA,,,489915.98,4442615.77,40.00000000,24,24,Warminster,0.00000000,17.00000000,25.00000000,61.00000000,18,12.71620353,2704183.41308992,302399.94276854,0,0.00000000
25,25,80036.00000000,Willow Grove,-75.11521000,40.14313000,3,N,N,Y,Y,0,N,N,Willow Grove,Montogomery,PA,,,490219.68,4443651.26,368.00000000,123,106,Warminster,17.00000000,146.00000000,128.00000000,469.00000000,18,13.47359188,2705268.43696752,306273.29670714,0,0.00000000
26,26,80037.00000000,Hatboro,-75.10336000,40.17446000,4,N,N,Y,Y,0,N,N,Hatbro,Bucks,PA,,,491233.07,4447126.95,479.00000000,97,97,Warminster,0.00000000,133.00000000,86.00000000,435.00000000,18,15.77299233,2708163.17550319,318091.71552897,0,0.00000000
27,27,80038.00000000,Warminster,-75.09022000,40.19427000,4,N,N,Y,Y,high,N,N,Warminster,Bucks,PA,,,492354.19,4449324.38,796.00000000,800,690,Warminster,110.00000000,321.00000000,242.00000000,943.00000000,18,17.21434690,2711737.68141115,325150.92253884,0,0.00000000
28,28,80039.00000000,Elwyn,-75.41458000,39.90580000,3,N,N,Y,Y,mini-high,Y,N,Elwyn,Delaware,PA,,,464595.87,4417385.7,325.00000000,217,217,Elwyn,0.00000000,96.00000000,64.00000000,445.00000000,18,13.50083157,2624461.76545133,217844.28578938,0,0.00000000
